sample	height	length	width	weight	loc	type	date
19_13	203.7 	114.9 	53.6 	825.0 	Dongying	Northern_Cari	2020_7
19_14	213.7 	110.7 	59.2 	882.5 	Dongying	Northern_Cari	2020_7
19_15	263.3 	96.1 	57.3 	761.0 	Dongying	Northern_Cari	2020_7
19_16	259.0 	95.0 	59.9 	898.7 	Dongying	Northern_Cari	2020_7
19_17	224.8 	115.6 	63.6 	1324.8 	Dongying	Northern_Cari	2020_7
19_18	222.5 	102.2 	40.7 	806.5 	Dongying	Northern_Cari	2020_7
19_19	246.6 	112.7 	49.0 	1057.4 	Dongying	Northern_Cari	2020_7
19_2	293.7 	93.0 	52.3 	1010.4 	Dongying	Northern_Cari	2020_7
19_20	240.3 	104.5 	35.5 	684.3 	Dongying	Northern_Cari	2020_7
19_21	251.2 	106.5 	53.1 	1122.6 	Dongying	Northern_Cari	2020_7
19_22	251.7 	80.8 	37.0 	743.4 	Dongying	Northern_Cari	2020_7
19_23	242.7 	104.6 	56.1 	1346.2 	Dongying	Northern_Cari	2020_7
19_24	218.3 	85.5 	43.7 	726.0 	Dongying	Northern_Cari	2020_7
19_25	205.6 	86.1 	51.0 	671.4 	Dongying	Northern_Cari	2020_7
19_26	191.4 	98.7 	56.0 	550.0 	Dongying	Northern_Cari	2020_7
19_27	262.4 	112.6 	73.5 	1088.5 	Dongying	Northern_Cari	2020_7
19_28	255.2 	98.8 	64.0 	943.5 	Dongying	Northern_Cari	2020_7
19_3	200.3 	125.9 	58.6 	955.8 	Dongying	Northern_Cari	2020_7
19_4	180.3 	87.3 	50.3 	1133.6 	Dongying	Northern_Cari	2020_7
19_5	263.6 	101.2 	57.1 	991.7 	Dongying	Northern_Cari	2020_7
19_6	225.2 	90.4 	44.1 	616.4 	Dongying	Northern_Cari	2020_7
19_7	275.7 	79.6 	48.4 	750.1 	Dongying	Northern_Cari	2020_7
19_8	207.5 	110.3 	61.9 	861.6 	Dongying	Northern_Cari	2020_7
19_9	250.4 	124.8 	62.7 	1166.6 	Dongying	Northern_Cari	2020_7
5_10	177.9 	103.2 	48.6 	760.0 	Dongying	Northern_Cari	2019_9
5_2	260.4 	97.0 	53.9 	863.4 	Dongying	Northern_Cari	2019_9
5_21	216.6 	103.2 	45.0 	781.4 	Dongying	Northern_Cari	2019_9
5_26	199.2 	81.6 	44.6 	537.4 	Dongying	Northern_Cari	2019_9
5_29	223.2 	95.6 	41.0 	667.5 	Dongying	Northern_Cari	2019_9
5_3	202.7 	78.1 	51.1 	638.7 	Dongying	Northern_Cari	2019_9
5_31	212.8 	90.9 	40.6 	612.3 	Dongying	Northern_Cari	2019_9
5_34	180.3 	96.7 	55.2 	521.1 	Dongying	Northern_Cari	2019_9
5_8	237.0 	77.7 	53.9 	712.7 	Dongying	Northern_Cari	2019_9
6_1	262.6 	89.2 	46.4 	834.0 	Dongying	Northern_Cari	2019_10
6_10	230.6 	114.9 	67.1 	1087.4 	Dongying	Northern_Cari	2019_10
6_11	229.9 	102.8 	68.7 	1035.4 	Dongying	Northern_Cari	2019_10
6_12	227.3 	103.5 	68.8 	1002.3 	Dongying	Northern_Cari	2019_10
6_13	246.4 	103.7 	52.7 	771.0 	Dongying	Northern_Cari	2019_10
6_14	218.4 	110.4 	72.3 	902.1 	Dongying	Northern_Cari	2019_10
